  0.00000000E+00  0.76412571E+01
  0.15072929E-01  0.76406465E+01
  0.30145858E-01  0.76388104E+01
  0.45218787E-01  0.76357362E+01
  0.60291716E-01  0.76314027E+01
  0.75364645E-01  0.76257803E+01
  0.90437574E-01  0.76188310E+01
  0.10551050E+00  0.76105093E+01
  0.12058343E+00  0.76007622E+01
  0.13565636E+00  0.75895307E+01
  0.15072929E+00  0.75767512E+01
  0.16580222E+00  0.75623577E+01
  0.18087515E+00  0.75462845E+01
  0.19594808E+00  0.75284692E+01
  0.21102101E+00  0.75088564E+01
  0.22609394E+00  0.74874011E+01
  0.24116686E+00  0.74640718E+01
  0.25623979E+00  0.74388537E+01
  0.27131272E+00  0.74117500E+01
  0.28638565E+00  0.73827824E+01
  0.30145858E+00  0.73519894E+01
  0.31653151E+00  0.73194230E+01
  0.33160444E+00  0.72851438E+01
  0.34667737E+00  0.72492140E+01
  0.36175030E+00  0.72116896E+01
  0.37682323E+00  0.71726127E+01
  0.39189615E+00  0.71320031E+01
  0.40696908E+00  0.70898520E+01
  0.42204201E+00  0.70461168E+01
  0.43711494E+00  0.70007184E+01
  0.45218787E+00  0.69535408E+01
  0.46726080E+00  0.69044336E+01
  0.48233373E+00  0.68532169E+01
  0.49740666E+00  0.67996884E+01
  0.51247959E+00  0.67436320E+01
  0.52755252E+00  0.66848293E+01
  0.54262544E+00  0.66230697E+01
  0.55769837E+00  0.65581636E+01
  0.57277130E+00  0.64899528E+01
  0.58784423E+00  0.64183225E+01
  0.60291716E+00  0.63432107E+01
  0.61799009E+00  0.62646167E+01
  0.63306302E+00  0.61826072E+01
  0.64813595E+00  0.60973205E+01
  0.66320888E+00  0.60089681E+01
  0.67828181E+00  0.59178334E+01
  0.69335473E+00  0.58242684E+01
  0.70842766E+00  0.57286878E+01
  0.72350059E+00  0.56315609E+01
  0.73857352E+00  0.55334019E+01
  0.75364645E+00  0.54347584E+01
  0.76871938E+00  0.53361993E+01
  0.78379231E+00  0.52383018E+01
  0.79886524E+00  0.51416385E+01
  0.81393817E+00  0.50467646E+01
  0.82901110E+00  0.49542055E+01
  0.84408402E+00  0.48644457E+01
  0.85915695E+00  0.47779189E+01
  0.87422988E+00  0.46949992E+01
  0.88930281E+00  0.46159946E+01
  0.90437574E+00  0.45411414E+01
  0.91944867E+00  0.44706017E+01
  0.93452160E+00  0.44044617E+01
  0.94959453E+00  0.43427323E+01
  0.96466746E+00  0.42853518E+01
  0.97974039E+00  0.42321901E+01
  0.99481332E+00  0.41830542E+01
  0.10098862E+01  0.41376952E+01
  0.10249592E+01  0.40958171E+01
  0.10400321E+01  0.40570854E+01
  0.10551050E+01  0.40211371E+01
  0.10701780E+01  0.39875910E+01
  0.10852509E+01  0.39560580E+01
