L                               1         0.0000000000      0.5000000000      0.5000000000      0.5000000000
G                             101         1.5072929017      0.0000000000      0.0000000000      0.0000000000
X                             216         3.2477648267      0.5000000000      0.0000000000      0.5000000000
W                             274         4.1180007893      0.5000000000      0.2500000000      0.7500000000
L                             356         5.3487002899      0.5000000000      0.5000000000      0.5000000000
K                             427         6.4145173219      0.7500000000      0.3750000000      0.3750000000
G                             549         8.2605665729      0.0000000000      0.0000000000      0.0000000000
